Marital_status,Application_mode,Application_order,Course,Daytime_evening_attendance,Previous_qualification,Previous_qualification_grade,Nacionality,Mothers_qualification,Fathers_qualification,Mothers_occupation,Fathers_occupation,Admission_grade,Displaced,Educational_special_needs,Debtor,Tuition_fees_up_to_date,Gender,Scholarship_holder,Age_at_enrollment,International,Curricular_units_1st_sem_credited,Curricular_units_1st_sem_enrolled,Curricular_units_1st_sem_evaluations,Curricular_units_1st_sem_approved,Curricular_units_1st_sem_grade,Curricular_units_1st_sem_without_evaluations,Curricular_units_2nd_sem_credited,Curricular_units_2nd_sem_enrolled,Curricular_units_2nd_sem_evaluations,Curricular_units_2nd_sem_approved,Curricular_units_2nd_sem_grade,Curricular_units_2nd_sem_without_evaluations,Unemployment_rate,Inflation_rate,GDP,Status
single,1st phase - general,1,Ad/Marketing,daytime,Secondary education,139.0,Portuguese,38,19,Services/Sellers,Industry/Construction,130.6,yes,no,no,yes,female,no,18,no,0,6,6,6,12.333333333333334,0,0,6,7,5,14.2,0,13.9,-0.3,0.79,Graduate
single,1st phase - general,1,Nursing,daytime,Secondary education,136.0,Portuguese,19,38,Unskilled Workers,Unskilled Workers,119.3,yes,no,no,yes,female,yes,18,no,0,8,8,7,13.214285714285714,0,0,8,8,7,13.214285714285714,0,12.7,3.7,-1.7,Graduate
single,1st phase - general,2,Basic Education,daytime,Secondary education,133.0,Portuguese,19,37,Admin staff,Unskilled Workers,130.2,yes,no,no,yes,female,no,19,no,0,6,6,0,0.0,0,0,6,0,0,0.0,0,12.7,3.7,-1.7,Dropout
single,Short cycle diploma,1,Tourism,daytime,Professional higher technical,110.0,Portuguese,1,1,Admin staff,Industry/Construction,111.8,yes,no,no,yes,female,yes,21,no,0,6,7,6,10.571428571428571,0,0,6,8,5,11.0,0,8.9,1.4,3.51,Graduate
single,1st phase - general,1,Veterinary Nursing,daytime,Secondary education,149.0,Portuguese,38,37,Services/Sellers,Services/Sellers,137.1,yes,no,no,yes,female,yes,18,no,0,5,7,4,13.25,0,0,5,5,5,12.0,0,10.8,1.4,1.74,Graduate
single,1st phase - general,1,Journalism,daytime,Secondary education,127.0,Portuguese,19,37,Unskilled Workers,Technicians,120.7,yes,no,no,yes,female,no,20,no,0,6,6,5,13.2,0,0,6,7,0,0.0,0,15.5,2.8,-4.06,Dropout
single,3rd phase - general,1,Social Service,daytime,Secondary education,137.0,Portuguese,19,38,Services/Sellers,Machine Operators,137.4,yes,no,no,yes,female,no,18,no,0,6,10,1,12.0,0,0,6,14,2,11.0,0,10.8,1.4,1.74,Enrolled
single,2nd phase - general,2,Nursing,daytime,Secondary education,135.0,Portuguese,19,1,Services/Sellers,Admin staff,127.3,yes,no,no,yes,female,no,18,no,0,7,8,7,13.30625,0,0,8,8,8,14.545,0,15.5,2.8,-4.06,Graduate
single,1st phase - general,1,Equinculture,daytime,Secondary education,137.0,Portuguese,3,19,Technicians,Services/Sellers,136.3,yes,no,no,yes,female,no,20,no,0,5,8,4,12.5,1,0,5,8,4,12.25,2,10.8,1.4,1.74,Graduate
single,1st phase - general,1,Basic Education,daytime,Secondary education,140.0,Portuguese,19,19,Industry/Construction,Industry/Construction,124.6,yes,no,no,yes,female,no,18,no,0,7,7,6,11.666666666666666,0,0,7,8,6,13.5,0,16.2,0.3,-0.92,Enrolled
single,1st phase - general,3,Animation/Multimedia,daytime,Secondary education,122.0,Portuguese,1,1,Unskilled Workers,Machine Operators,120.3,no,no,no,yes,female,yes,21,no,0,0,0,0,0.0,0,0,0,0,0,0.0,0,11.1,0.6,2.02,Graduate
single,3rd phase - general,4,Oral Hygiene,daytime,Secondary education,127.0,Portuguese,1,38,Admin staff,Industry/Construction,121.8,yes,no,no,yes,female,no,20,no,0,7,14,7,11.4375,0,0,8,9,8,11.425,0,12.7,3.7,-1.7,Enrolled
single,1st phase - general,4,Nursing,daytime,Secondary education,142.0,Portuguese,19,19,Legislative/Executive,Legislative/Executive,125.5,yes,no,no,yes,female,no,18,no,0,8,12,7,12.857142857142858,0,0,8,12,7,12.857142857142858,0,12.7,3.7,-1.7,Graduate
single,1st phase - general,4,Ad/Marketing,daytime,Secondary education,125.0,Portuguese,1,38,Admin staff,Industry/Construction,114.9,yes,no,no,yes,female,yes,19,no,0,6,8,6,13.375,0,0,6,7,6,12.285714285714286,0,11.1,0.6,2.02,Graduate
single,1st phase - general,1,Nursing,daytime,Secondary education,126.0,Portuguese,19,19,Technicians,Industry/Construction,123.9,no,no,no,yes,female,no,19,no,0,7,8,6,13.296666666666669,0,0,8,9,7,14.114285714285714,0,11.1,0.6,2.02,Graduate
single,1st phase - general,1,Social Service,daytime,Secondary education,151.0,Portuguese,19,38,Unskilled Workers,Unskilled Workers,157.0,yes,no,yes,yes,female,yes,18,no,0,6,8,5,11.6,0,0,6,12,4,11.0,0,7.6,2.6,0.32,Enrolled
single,2nd phase - general,2,Social Service,daytime,Secondary education,115.0,Portuguese,19,38,Industry/Construction,Machine Operators,116.4,yes,no,no,yes,female,no,21,no,0,6,9,6,11.375,0,0,6,9,6,13.285714285714286,0,16.2,0.3,-0.92,Graduate
single,1st phase - general,1,Veterinary Nursing,daytime,Secondary education,138.0,Portuguese,19,19,Technicians,Technicians,131.0,yes,no,no,yes,female,no,18,no,0,5,9,5,12.666666666666666,2,0,5,7,4,13.0,0,9.4,-0.8,-3.12,Enrolled
single,1st phase - general,1,Management,daytime,Secondary education,135.0,Portuguese,19,1,Unskilled Workers,Unskilled Workers,122.1,yes,no,no,yes,female,no,20,no,0,5,6,5,12.0,0,0,5,6,5,12.333333333333334,0,16.2,0.3,-0.92,Graduate
single,2nd phase - general,2,Nursing,daytime,Secondary education,127.0,Portuguese,3,3,Legislative/Executive,Armed Forces,118.8,yes,no,no,yes,male,no,19,no,0,7,9,6,12.933333333333332,0,0,7,7,6,13.716666666666669,0,16.2,0.3,-0.92,Enrolled
single,Tech diploma,1,Agronomy,daytime,Technological specialization,150.0,Portuguese,4,5,Admin staff,Scientific specialists,150.0,no,no,no,yes,male,no,21,no,0,6,15,5,11.857142857142858,0,0,6,17,5,10.571428571428571,0,16.2,0.3,-0.92,Enrolled
single,Change institution/course,1,Communication Design,daytime,Secondary education,125.0,Portuguese,42,3,ICT Specialists,Finance/Admin Specialists,130.0,yes,no,no,yes,male,no,20,no,2,6,7,6,12.833333333333334,0,0,6,9,4,13.4,0,8.9,1.4,3.51,Graduate
single,1st phase - general,1,Management,daytime,Secondary education,143.0,Portuguese,1,1,Admin staff,Agriculture/Fisheries,138.8,no,no,no,no,male,no,18,no,0,5,9,3,11.333333333333334,0,0,5,8,2,13.5,0,8.9,1.4,3.51,Enrolled
single,3rd phase - general,1,Social Service (evening),evening,Secondary education,138.0,Portuguese,19,1,Unskilled Workers,Services/Sellers,134.5,yes,no,no,yes,female,no,19,no,0,6,6,6,12.666666666666666,0,0,6,8,6,14.375,0,12.4,0.5,1.79,Graduate
single,1st phase - general,1,Management (evening),evening,Secondary education,130.0,Portuguese,2,37,Technicians,Unskilled Workers,131.4,no,no,no,yes,male,no,34,no,0,5,6,5,12.4,0,0,5,9,5,13.428571428571429,0,13.9,-0.3,0.79,Graduate
single,Over 23 years old,1,Biofuel Production,daytime,Secondary education,130.0,Portuguese,38,37,Unskilled Workers,Agriculture/Fisheries,102.5,no,no,yes,no,male,no,37,no,0,7,7,0,0.0,0,0,7,7,1,10.0,0,8.9,1.4,3.51,Dropout
single,Over 23 years old,1,Informatics Engineering,daytime,11th year of schooling - not completed,133.1,Portuguese,34,37,Student,Student,128.8,yes,no,no,yes,male,no,43,no,0,5,0,0,0.0,0,0,5,0,0,0.0,0,7.6,2.6,0.32,Dropout
single,Change course,1,Management,daytime,Secondary education,140.0,Portuguese,37,37,Agriculture/Fisheries,Agriculture/Fisheries,122.9,no,no,no,yes,female,no,55,no,0,5,10,1,10.0,0,0,5,8,2,12.0,2,16.2,0.3,-0.92,Dropout
divorced,Over 23 years old,1,Management (evening),evening,Secondary education,120.0,Portuguese,19,19,Unskilled Workers,Technicians,113.9,yes,no,no,yes,female,no,39,no,0,5,8,5,11.0,0,0,5,5,5,11.6,0,7.6,2.6,0.32,Graduate
single,Tech diploma,1,Equinculture,daytime,Technological specialization,120.0,Spanish,4,4,Technicians,Agriculture/Fisheries,120.0,no,no,yes,no,female,no,20,yes,2,6,13,3,11.666666666666666,0,1,6,11,3,12.0,0,12.4,0.5,1.79,Dropout
single,1st phase - general,5,Journalism,daytime,Secondary education,126.0,Portuguese,3,3,Scientific specialists,Scientific specialists,121.1,no,no,yes,yes,female,no,18,no,0,6,6,4,12.75,0,0,5,5,0,0.0,0,12.7,3.7,-1.7,Dropout
single,1st phase - general,2,Management,daytime,Secondary education,133.0,Portuguese,3,19,Scientific specialists,Industry/Construction,120.4,yes,no,no,yes,female,no,22,no,0,5,5,5,14.8,0,0,5,5,5,15.8,0,8.9,1.4,3.51,Graduate
single,1st phase - general,6,Nursing,daytime,Secondary education,103.0,Portuguese,1,3,Scientific specialists,Scientific specialists,100.6,yes,yes,no,yes,female,no,22,no,0,7,9,5,13.928,0,0,8,9,7,14.342857142857142,0,11.1,0.6,2.02,Graduate
single,2nd phase - general,1,Journalism,daytime,Secondary education,120.0,Portuguese,1,38,Services/Sellers,Services/Sellers,121.4,no,no,no,no,female,no,20,no,0,6,7,4,13.0,0,0,6,7,5,13.8,0,12.4,0.5,1.79,Dropout
single,Over 23 years old,1,Management (evening),evening,Secondary education,133.1,Portuguese,37,37,Unskilled Workers,Unskilled Workers,109.7,no,no,no,yes,female,no,29,no,0,5,0,0,0.0,0,0,5,0,0,0.0,0,16.2,0.3,-0.92,Dropout
single,2nd phase - general,1,Management (evening),evening,Secondary education,154.0,Portuguese,38,38,Admin staff,Services/Sellers,134.1,no,no,no,yes,female,no,24,no,0,5,9,2,11.5,0,0,5,11,3,14.333333333333334,1,7.6,2.6,0.32,Enrolled
single,2nd phase - general,2,Social Service,daytime,Secondary education,130.0,Portuguese,19,19,Unskilled Workers,Unskilled Workers,127.6,yes,no,no,yes,female,no,18,no,0,6,6,6,11.666666666666666,0,0,6,8,5,13.2,0,11.1,0.6,2.02,Graduate
single,2nd phase - general,6,Nursing,daytime,Secondary education,132.0,Portuguese,37,19,Industry/Construction,Industry/Construction,132.4,yes,no,no,yes,female,yes,22,no,0,7,8,6,13.516666666666666,0,0,8,9,7,13.771428571428572,0,11.1,0.6,2.02,Graduate
single,Tech diploma,1,Social Service (evening),evening,Technological specialization,130.0,Portuguese,1,19,Unskilled Workers,Unskilled Workers,133.4,no,no,no,yes,female,yes,21,no,3,6,6,6,11.5,0,2,6,7,6,13.285714285714286,0,12.4,0.5,1.79,Graduate
single,1st phase - general,1,Social Service,daytime,Secondary education,139.0,Portuguese,37,38,Unskilled Workers,Unskilled Workers,126.1,no,no,no,yes,female,yes,19,no,0,6,7,5,12.333333333333334,0,0,6,7,6,12.833333333333334,0,12.7,3.7,-1.7,Graduate
single,Over 23 years old,1,Tourism,daytime,Secondary education,130.0,Portuguese,19,38,Unskilled Workers,Industry/Construction,113.5,no,no,no,yes,female,yes,24,no,0,6,6,6,13.666666666666666,0,0,6,6,6,14.166666666666666,0,12.4,0.5,1.79,Graduate
single,1st phase - general,1,Nursing,daytime,Secondary education,139.0,Portuguese,37,38,Agriculture/Fisheries,Agriculture/Fisheries,121.3,yes,no,no,yes,female,yes,19,no,0,8,10,6,11.833333333333334,0,0,8,10,6,11.833333333333334,0,9.4,-0.8,-3.12,Enrolled
single,1st phase - general,1,Journalism,daytime,Secondary education,127.0,Portuguese,1,19,Industry/Construction,Industry/Construction,121.8,yes,no,no,yes,female,yes,20,no,0,6,11,4,14.0,0,0,6,12,3,11.0,0,9.4,-0.8,-3.12,Enrolled
single,1st phase - general,3,Equinculture,daytime,Secondary education,167.0,Portuguese,37,37,Other,Other,159.3,no,no,no,yes,female,no,19,no,0,5,7,5,14.714285714285714,0,0,5,5,5,15.8,0,7.6,2.6,0.32,Graduate
single,Over 23 years old,1,Management (evening),evening,Secondary education,130.0,Portuguese,38,38,Unskilled Workers,Unskilled Workers,120.0,no,no,no,yes,female,no,27,no,0,5,12,5,10.6,0,0,5,10,5,11.0,0,9.4,-0.8,-3.12,Dropout
single,1st phase - general,1,Nursing,daytime,Secondary education,130.0,Portuguese,1,19,Services/Sellers,Services/Sellers,129.1,yes,no,no,yes,female,no,18,no,0,7,9,7,13.044444444444444,0,0,8,10,8,13.595,0,15.5,2.8,-4.06,Graduate
married,Other higher courses,1,Tourism,daytime,Higher education - degree,130.0,Portuguese,1,3,Admin staff,Technicians,130.0,no,no,no,yes,female,no,39,no,0,6,10,0,0.0,0,0,6,6,0,0.0,0,12.4,0.5,1.79,Dropout
single,Over 23 years old,1,Equinculture,daytime,Higher education - degree (1st cycle),129.0,Portuguese,3,3,Scientific specialists,Scientific specialists,155.3,yes,no,no,yes,female,no,27,no,0,6,9,5,13.0,0,5,11,13,10,12.9,0,12.4,0.5,1.79,Dropout
single,2nd phase - general,1,Nursing,daytime,Secondary education,141.0,Portuguese,38,38,Industry/Construction,Armed Forces,139.8,yes,no,no,yes,female,no,18,no,0,8,8,8,14.935,0,0,8,8,8,14.935,0,9.4,-0.8,-3.12,Graduate
single,1st phase - general,3,Animation/Multimedia,daytime,Secondary education,125.0,Portuguese,38,37,Admin staff,Unskilled Workers,115.2,yes,no,no,yes,female,no,18,no,0,0,0,0,0.0,0,0,0,0,0,0.0,0,7.6,2.6,0.32,Enrolled
single,1st phase - general,2,Nursing,daytime,Secondary education,125.0,Portuguese,19,19,Unskilled Workers,Unskilled Workers,114.9,no,no,no,yes,female,no,18,no,0,7,8,6,13.133333333333333,0,0,8,12,7,12.221428571428572,0,16.2,0.3,-0.92,Graduate
single,Tech diploma,1,Social Service,daytime,Technological specialization,130.0,Portuguese,19,1,Unskilled Workers,Unskilled Workers,131.9,no,no,no,yes,female,yes,21,no,3,6,7,6,12.0,0,2,6,7,6,12.0,0,13.9,-0.3,0.79,Graduate
single,2nd phase - general,3,Animation/Multimedia,daytime,Secondary education,133.0,Portuguese,1,37,Admin staff,Industry/Construction,126.0,yes,no,no,yes,male,yes,19,no,0,0,0,0,0.0,0,0,0,0,0,0.0,0,10.8,1.4,1.74,Enrolled
single,2nd phase - general,1,Communication Design,daytime,Secondary education,127.0,Portuguese,1,1,Technicians,Admin staff,130.2,yes,no,no,yes,male,no,19,no,0,6,6,5,11.4,0,0,6,8,1,10.0,0,10.8,1.4,1.74,Enrolled
single,Change course,1,Communication Design,daytime,Secondary education,116.0,Portuguese,1,1,Technicians,Technicians,120.9,no,no,no,yes,male,no,24,no,0,6,6,0,0.0,0,0,6,6,0,0.0,0,12.7,3.7,-1.7,Enrolled
divorced,Transfer,1,Nursing,daytime,Basic education 3rd cycle,133.1,Portuguese,1,1,Services/Sellers,Services/Sellers,126.0,yes,no,no,yes,male,no,29,no,2,7,10,5,11.9,0,1,8,10,5,11.0,0,13.9,-0.3,0.79,Dropout
single,1st phase - general,3,Animation/Multimedia,daytime,Secondary education,139.0,Portuguese,19,19,Services/Sellers,Technicians,128.2,yes,no,no,yes,male,yes,19,no,0,0,0,0,0.0,0,0,0,0,0,0.0,0,10.8,1.4,1.74,Graduate
single,Tech diploma,1,Agronomy,daytime,Technological specialization,130.0,Portuguese,19,37,Unskilled Workers,Unskilled Workers,130.0,yes,no,no,yes,male,no,23,no,0,6,8,6,12.571428571428571,0,0,6,7,6,12.428571428571429,0,8.9,1.4,3.51,Graduate
single,1st phase - general,3,Management,daytime,Secondary education,125.0,Portuguese,1,38,Industry/Construction,Industry/Construction,120.1,no,no,yes,yes,male,no,19,no,0,5,8,5,11.2,0,0,5,10,4,10.75,3,16.2,0.3,-0.92,Dropout
single,Over 23 years old,1,Tourism,daytime,Secondary education,160.0,Portuguese,19,37,Industry/Construction,Armed Forces,100.0,no,no,no,yes,male,no,26,no,0,6,7,6,12.0,0,0,6,8,5,10.8,0,12.7,3.7,-1.7,Enrolled
single,2nd phase - general,1,Management,daytime,Secondary education,148.0,Portuguese,38,37,Services/Sellers,Services/Sellers,134.0,no,no,no,yes,male,no,18,no,0,5,9,0,0.0,0,0,5,5,0,0.0,0,7.6,2.6,0.32,Enrolled
single,2nd phase - general,1,Nursing,daytime,Secondary education,150.0,Portuguese,37,19,Machine Operators,Admin staff,130.8,no,no,no,yes,male,no,24,no,0,7,8,7,11.975,0,0,8,8,8,13.75,0,13.9,-0.3,0.79,Graduate
single,1st phase - general,1,Animation/Multimedia,daytime,Secondary education,141.0,Portuguese,19,19,Services/Sellers,Armed Forces,135.8,yes,no,no,yes,male,no,19,no,0,0,0,0,0.0,0,0,0,0,0,0.0,0,15.5,2.8,-4.06,Dropout
single,2nd phase - general,4,Tourism,daytime,Secondary education,118.0,Portuguese,38,37,Services/Sellers,Industry/Construction,111.7,yes,no,no,yes,male,no,18,no,0,6,12,3,11.666666666666666,0,0,6,12,1,12.0,0,12.4,0.5,1.79,Dropout
single,1st phase - general,2,Journalism,daytime,Secondary education,142.0,Portuguese,38,38,Unskilled Workers,Unskilled Workers,132.9,yes,no,no,yes,male,no,18,no,0,6,8,6,12.333333333333334,0,0,6,11,3,12.333333333333334,0,10.8,1.4,1.74,Graduate
single,2nd phase - general,3,Management,daytime,Secondary education,120.0,Portuguese,19,19,Admin staff,Industry/Construction,115.5,yes,no,yes,yes,male,no,18,no,0,5,8,3,10.333333333333334,0,0,5,11,3,10.857142857142858,0,10.8,1.4,1.74,Dropout
single,3rd phase - general,4,Tourism,daytime,Secondary education,106.0,Portuguese,19,37,Industry/Construction,Industry/Construction,106.0,yes,no,no,yes,male,yes,21,no,0,6,8,4,10.5,0,0,6,11,1,11.0,0,9.4,-0.8,-3.12,Dropout
single,2nd phase - general,4,Journalism,daytime,Secondary education,121.0,Portuguese,1,19,Unskilled Workers,Machine Operators,120.3,yes,no,yes,yes,male,yes,19,no,0,6,6,6,13.666666666666666,0,0,6,6,6,13.333333333333334,0,8.9,1.4,3.51,Graduate
single,2nd phase - general,4,Nursing,daytime,Secondary education,150.0,Portuguese,38,37,Unskilled Workers,Unskilled Workers,130.8,no,no,no,yes,male,yes,22,no,0,7,7,7,14.842857142857142,0,0,8,9,8,15.055555555555555,0,16.2,0.3,-0.92,Graduate
married,Over 23 years old,1,Social Service (evening),evening,Secondary education,120.0,Portuguese,37,37,Unskilled Workers,Agriculture/Fisheries,117.0,no,no,no,yes,male,no,33,no,0,6,8,6,12.0,0,0,6,6,6,11.666666666666666,0,10.8,1.4,1.74,Graduate
single,1st phase - general,6,Basic Education,daytime,Secondary education,114.0,Portuguese,19,19,Unskilled Workers,Unskilled Workers,110.2,yes,no,no,yes,male,no,20,no,0,6,8,5,12.2,0,0,6,7,5,12.2,0,10.8,1.4,1.74,Dropout
single,Over 23 years old,1,Management (evening),evening,Higher education - bachelor's degree,140.0,Portuguese,3,3,Scientific specialists,Scientific specialists,155.7,yes,no,no,yes,male,no,35,no,0,1,1,0,0.0,1,0,5,0,0,0.0,0,10.8,1.4,1.74,Dropout
single,Over 23 years old,1,Agronomy,daytime,Higher education - master's,160.0,Portuguese,3,3,Admin staff,Scientific specialists,180.4,no,no,yes,yes,male,no,24,no,6,12,17,6,12.166666666666666,0,7,12,14,10,13.3,0,12.4,0.5,1.79,Dropout
single,2nd phase - general,1,Tourism,daytime,Secondary education,120.0,Portuguese,19,19,Admin staff,Admin staff,125.5,no,no,no,yes,male,no,18,no,0,5,6,5,12.0,0,0,5,8,3,11.333333333333334,0,12.7,3.7,-1.7,Enrolled
married,Over 23 years old,1,Social Service (evening),evening,Secondary education,130.0,Portuguese,37,37,Unskilled Workers,Agriculture/Fisheries,110.0,yes,no,no,yes,female,no,33,no,0,6,7,6,11.0,0,0,6,11,5,11.0,0,9.4,-0.8,-3.12,Graduate
single,Transfer,1,Nursing,daytime,Secondary education,160.0,Portuguese,37,38,Unskilled Workers,Industry/Construction,161.0,yes,no,no,yes,female,yes,22,no,0,8,8,7,13.08,0,0,8,8,7,13.08,0,10.8,1.4,1.74,Graduate
single,Over 23 years old,1,Ad/Marketing,daytime,Secondary education,120.0,Portuguese,1,19,Admin staff,Services/Sellers,100.0,no,no,no,yes,female,yes,25,no,0,5,7,4,10.5,0,0,5,7,5,11.6,0,9.4,-0.8,-3.12,Graduate
single,2nd phase - general,1,Communication Design,daytime,Secondary education,124.0,Portuguese,19,38,Admin staff,Student,117.6,yes,no,no,yes,male,no,20,no,0,6,9,6,10.666666666666666,1,0,6,6,5,11.2,0,7.6,2.6,0.32,Graduate
single,1st phase - general,6,Management,daytime,Secondary education,143.0,Portuguese,38,37,Unskilled Workers,Unskilled Workers,128.7,yes,no,no,yes,male,no,23,no,0,5,6,4,14.0,0,0,5,5,5,13.8,0,11.1,0.6,2.02,Enrolled
single,Change course,2,Informatics Engineering,daytime,Secondary education,115.0,Portuguese,38,19,Unskilled Workers,Agriculture/Fisheries,112.2,yes,no,yes,yes,male,no,18,no,0,5,9,2,10.0,0,0,5,9,0,0.0,0,15.5,2.8,-4.06,Enrolled
single,Over 23 years old,1,Nursing,daytime,Secondary education,133.1,Portuguese,1,1,Admin staff,Armed Forces,100.8,no,no,no,yes,male,no,24,no,0,7,18,0,0.0,0,0,7,7,0,0.0,0,13.9,-0.3,0.79,Dropout
single,2nd phase - general,2,Journalism,daytime,Secondary education,133.1,Brazilian,19,1,Unskilled Workers,Unskilled Workers,105.0,yes,no,no,no,female,no,21,yes,0,6,6,6,14.0,0,0,6,6,6,13.5,0,8.9,1.4,3.51,Graduate
single,International student,1,Equinculture,daytime,Secondary education,133.1,Brazilian,1,1,Admin staff,Admin staff,100.0,no,no,no,yes,female,no,26,yes,0,6,7,2,12.0,1,0,6,6,0,0.0,0,8.9,1.4,3.51,Dropout
married,Over 23 years old,1,Basic Education,daytime,11th year of schooling - not completed,133.1,Portuguese,37,34,Student,Student,115.5,no,no,no,yes,female,no,39,no,0,6,12,3,12.666666666666666,0,0,6,14,0,0.0,1,7.6,2.6,0.32,Dropout
married,Over 23 years old,1,Social Service (evening),evening,Secondary education,133.1,Portuguese,37,19,Unskilled Workers,Unskilled Workers,114.0,no,no,no,yes,female,no,44,no,2,8,11,8,11.875,0,0,6,7,6,12.333333333333334,0,12.7,3.7,-1.7,Graduate
single,International student,1,Informatics Engineering,daytime,Secondary education,130.0,Santomean,38,3,Unskilled Workers,Scientific specialists,137.0,yes,no,no,yes,male,no,19,yes,0,5,9,5,14.0,0,0,5,11,3,13.25,0,13.9,-0.3,0.79,Enrolled
single,1st phase - general,5,Journalism,daytime,Secondary education,135.0,Portuguese,37,1,Services/Sellers,Services/Sellers,124.9,yes,no,no,yes,female,no,18,no,0,6,6,6,13.666666666666666,0,0,6,6,6,13.333333333333334,0,8.9,1.4,3.51,Graduate
single,1st phase - general,5,Nursing,daytime,Secondary education,132.0,Portuguese,37,37,Industry/Construction,Industry/Construction,120.3,yes,no,no,yes,female,yes,18,no,0,7,7,7,13.75,0,0,8,9,8,14.47777777777778,0,12.4,0.5,1.79,Graduate
single,1st phase - general,1,Veterinary Nursing,daytime,Secondary education,135.0,Portuguese,1,2,Unskilled Workers,Legislative/Executive,134.3,yes,no,no,yes,female,no,19,no,0,5,7,5,14.2,2,0,5,7,5,13.8,0,12.7,3.7,-1.7,Enrolled
single,1st phase - general,4,Nursing,daytime,Secondary education,115.0,Portuguese,3,3,Scientific specialists,Scientific specialists,111.5,yes,no,yes,no,female,no,19,no,0,7,10,4,11.96,0,0,7,7,0,0.0,0,13.9,-0.3,0.79,Dropout
single,Short cycle diploma,1,Veterinary Nursing,daytime,Professional higher technical,130.0,Portuguese,38,38,Unskilled Workers,Unskilled Workers,128.8,no,no,no,yes,female,no,21,no,7,10,12,8,12.875,0,4,9,14,5,13.4,0,8.9,1.4,3.51,Dropout
single,1st phase - general,4,Animation/Multimedia,daytime,Secondary education,133.1,Portuguese,1,1,Unskilled Workers,Armed Forces,110.0,yes,no,no,yes,female,no,20,no,0,0,0,0,0.0,0,0,0,0,0,0.0,0,16.2,0.3,-0.92,Graduate
married,Over 23 years old,1,Social Service (evening),evening,Secondary education,130.0,Portuguese,37,37,Agriculture/Fisheries,Services/Sellers,113.5,yes,no,no,yes,female,no,36,no,0,6,0,0,0.0,0,0,6,0,0,0.0,0,9.4,-0.8,-3.12,Dropout
